id,Park Code,Name,Street,Suburb,Easting,Northing,Latitude,Longitude
1,D0228,7TH BRIGADE PARK,HAMILTON RD,CHERMSIDE,"503,826.69","6,971,467.72",-27.38006149,153.0387005
2,D0021,A. J. JONES RECREATION RESERVE,CORNWALL ST,GREENSLOPES,"504,302.76","6,957,798.83",-27.50346312,153.0435636
3,D0696,A.R.C.HILL PARK,GOSS RD,VIRGINIA,"505,521.79","6,970,985.33",-27.38441077,153.0558459
4,D0432,ABBEVILLE STREET PARK,ABBEVILLE ST,UPR MT GRAVATT,"508,786.46","6,953,249.37",-27.54451364,153.0889922
5,D1009,ABBOTT STREET PARK,ABBOTT ST,CAMP HILL,"508,478.22","6,958,211.20",-27.49972065,153.0858355
6,D1637,ABLINGTON WAY PARK,ABLINGTON WAY,CARINDALE,"511,898.23","6,955,739.24",-27.52201163,153.1204848
7,D3114,ACACIA FOREST PARK,ACACIA RD,KARAWATHA,"509,478.30","6,944,424.17",-27.62418129,153.0960688
8,D0409,ACACIA PARK,CARMODY RD,ST LUCIA,"500,785.95","6,958,275.55",-27.4991659,153.0079571
9,D1464,ACORN CIRCUIT PARK,BOSS RD,INALA,"496,696.66","6,946,156.67",-27.60856987,152.9665232
10,D2101,ADA STREET PARK,ADA ST,TOOWONG,"497,699.60","6,961,091.12",-27.47374527,152.9767157
11,D2101,ADA STREET PARK,ADA ST,TOOWONG,"497,824.78","6,961,048.21",-27.47413294,152.9779827
12,D2058,ADDISON AVENUE PARK,ADDISON AVE,BULIMBA,"505,215.65","6,963,571.15",-27.45134757,153.0527815
13,D1784,ADMIRALTY TOWERS 11 PARK,QUEEN ST,BRISBANE,"503,127.38","6,962,128.50",-27.46437818,153.0316523
14,D1518,ADVANX STREET PARK,MIRBELIA ST,KENMORE HILLS,"493,645.18","6,958,050.90",-27.50117938,152.9356615
15,D0893,AIRLIE ROAD PARK,AIRLIE RD,PULLENVALE,"489,359.27","6,954,558.40",-27.53268258,152.8922387
16,D1280,AITCHESON STREET PARK (NO.101),AITCHESON ST,MOGGILL,"485,830.52","6,948,878.26",-27.5839297,152.8564355
17,D0757,AITCHESON STREET PARK (NO.5-6),AITCHESON ST,MOGGILL,"486,748.52","6,948,471.23",-27.58761357,152.8657321
18,D1515,AKUNA STREET PARK,AKUNA ST,KENMORE,"495,091.27","6,956,735.63",-27.51305965,152.9502968
19,D1015,ALAN WILLING PLACE PARK,BERNARRA ST,THE GAP,"496,002.87","6,963,939.89",-27.44802268,152.9595509
20,D0844,ALANA COURT PARK,ALANA CT,CHAPEL HILL,"494,880.91","6,958,408.37",-27.49809922,152.948307
21,D1778,ALBAN STREET PARK,BOUNDARY RD,OXLEY,"498,642.17","6,950,376.04",-27.57048145,152.9862442
22,D1414,ALBANY CREEK RD (NOS 97A-135) PARK,ALBANY CREEK RD,ASPLEY,"500,999.98","6,973,683.67",-27.36006063,153.0101113
23,D1719,ALBANY CREEK ROAD PARK (NO.150),SPENCER ST,ASPLEY,"500,653.42","6,973,293.06",-27.36358727,153.0066073
24,D1709,ALBANY CREEK ROAD PARK (NO.151),ALBANY CREEK RD,ASPLEY,"500,672.28","6,973,869.43",-27.35838373,153.0067977
25,D1908,ALBANY CREEK ROAD PARK (NO.245),ALBANY CREEK RD,BRIDGEMAN DOWNS,"500,294.68","6,973,970.17",-27.35747439,153.0029795
26,D1342,ALBANY CREEK ROAD PARK (NO.76),ALBANY CREEK RD,ASPLEY,"501,251.23","6,973,193.45",-27.36448613,153.0126523
27,D0800,ALBANY CREEK ROAD RESERVE,ALBANY CREEK RD,BRIDGEMAN DOWNS,"498,494.61","6,974,581.34",-27.35195585,152.9847793
28,D0464,ALBERT BISHOP PARK,HEDLEY AVE,NUNDAH,"506,905.28","6,968,604.77",-27.40589631,153.0698515
29,D0295,ALBERT EDWARD PADDON PARK,BLACKWOOD RD,DEAGON,"506,287.67","6,977,051.49",-27.32964131,153.0635604
30,D0295,ALBERT EDWARD PADDON PARK,BLACKWOOD RD,DEAGON,"506,396.20","6,977,030.77",-27.32982786,153.0646577
